Nomes_cc	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Tomar	2	0	0	0	0	0	0	1	1	0
Tondela	0	2	0	0	0	0	2	0	0	0
Torre de Moncorvo	0	0	1	0	0	0	0	1	0	0
Torres Novas	0	0	0	1	0	0	0	1	1	0
Torres Vedras	0	1	5	4	0	6	2	0	2	0
Trancoso	0	0	0	0	0	0	0	0	0	0
Trofa	0	1	0	0	3	0	1	0	0	2
Vagos	0	1	1	0	1	2	0	0	0	1
Vale de Cambra	0	2	0	0	0	0	1	1	0	0
Valença	0	1	0	2	0	0	0	0	0	0
Valongo	1	2	2	4	0	3	3	3	0	1
Valpaços	1	1	0	0	0	0	0	0	0	0
Velas	0	0	0	0	1	0	0	0	0	0
Vendas Novas	0	0	0	0	0	0	0	0	0	2
Viana do Alentejo	0	0	0	0	0	0	0	0	0	0
Viana do Castelo	4	3	1	4	3	4	1	0	1	2
Vidigueira	0	0	1	0	0	0	0	0	0	0
Vieira do Minho	0	0	0	0	0	2	0	0	1	0
Vila da Praia da Vitória	3	0	0	0	0	0	0	0	0	0
Vila de Rei	0	0	0	0	0	0	0	0	0	0
Vila do Bispo	1	0	0	0	1	0	0	0	0	0
Vila do Conde	2	1	3	2	0	2	0	1	2	1
Vila do Porto	0	0	0	0	0	0	0	0	0	0
Vila Flor	0	1	0	0	0	0	0	0	0	0
Vila Franca de Xira	5	2	4	7	1	2	3	2	5	2
Vila Franca do Campo	0	1	1	0	0	0	0	0	0	0
Vila Nova da Barquinha	0	0	0	0	0	0	0	1	0	0
Vila Nova de Cerveira	1	0	0	0	0	0	0	0	1	0
Vila Nova de Famalicão	2	4	3	4	2	1	1	6	1	1
Vila Nova de Foz Côa	0	1	0	0	0	0	0	0	0	0
Vila Nova de Gaia	5	12	6	7	7	10	6	4	3	10
Vila Nova de Paiva	0	0	0	0	0	1	0	0	0	0
Vila Nova de Poiares	0	0	0	0	0	0	0	0	0	0
Vila Pouca de Aguiar	1	1	0	0	0	0	0	0	1	0
Vila Real	0	1	0	2	0	1	1	0	1	0
Vila Real de Santo António	0	0	0	1	0	0	0	0	0	0
Vila Velha de Ródão	0	0	0	0	0	0	0	0	0	0
Vila Verde	1	0	0	2	0	0	1	1	0	1
Vila Viçosa	1	0	0	0	0	0	0	0	0	0
Vimioso	0	0	0	0	0	1	0	0	0	0
Vinhais	0	0	0	0	0	0	0	0	0	0
Viseu	2	1	1	3	5	1	4	0	0	3
Vizela	1	0	0	2	0	0	2	0	0	0
Vouzela	0	0	0	0	1	0	0	0	0	0
